,Year_Birth,Education,Status,Income,Num_of_kids,Num_of_Teen,Registration_date,Recency,Mnt_Fruits,Mnt_Meat,Mnt_sweet,Mnt_Wines,Mnt_Gold_Products,Mnt_Fish,Num_Web_Purchases,Num_Store_Purchases,Num_Deals_Purchases,Num_Catalog_Purchases,Num_Web_Visits,Response_Campaign_1,Response_Campaign_2,Response_Campaign_3,Response_Campaign_4,Response_Campaign_5,Complain,Response,Status_cat,Mnt_all
17,0.4313725490196134,1.0,Married,0.31389282230403726,0.5,0.5,0.24387947269303112,0.4141414141414142,0.3671171171171171,0.033707865168539325,0.1536113936927772,0.034482758620689655,0.030303030303030304,0.5301204819277108,1.0,0.8181818181818182,0.36363636363636365,0.46153846153846156,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3126984126984127
18,0.5882352941176521,1.0,Married,0.3592498190629032,0.5,0.5,0.5009416195856868,0.17171717171717174,0.20045045045045046,0.23595505617977527,0.3133265513733469,0.23706896551724138,0.21212121212121213,0.08433734939759036,1.0,0.6363636363636364,0.36363636363636365,0.6923076923076923,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2900793650793651
19,0.647058823529413,0.75,Together,0.2675477516599012,0.5,0.5,0.35593220338983045,0.21212121212121213,0.3078078078078078,0.0,0.059003051881993895,0.08189655172413793,0.045454545454545456,0.17670682730923692,1.0,0.6363636363636364,0.09090909090909091,0.6153846153846154,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2126984126984127
20,0.5686274509803937,0.5,Single,0.5020359356807955,0.5,1.0,0.24482109227871973,0.98989898989899,0.32507507507507505,0.5,0.6602238046795523,0.06896551724137931,0.5151515151515152,0.40963855421686746,1.0,0.36363636363636365,0.5454545454545454,0.6923076923076923,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5503968253968254
21,0.5882352941176521,0.75,Married,0.2895182353126278,0.5,0.5,0.4519774011299429,0.04040404040404041,0.45345345345345345,0.0,0.10071210579857579,0.08189655172413793,0.0,0.11244979919678713,0.9,0.9090909090909092,0.18181818181818182,0.6153846153846154,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29603174603174603
22,0.49019607843137436,0.5,Single,0.21125900752068977,0.5,0.5,0.41054613935969897,0.30303030303030304,0.17342342342342343,0.03932584269662921,0.13835198372329605,0.017241379310344827,0.07575757575757576,0.15662650602409636,0.9,0.4545454545454546,0.09090909090909091,0.6153846153846154,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16984126984126985
23,0.3529411764705941,0.5,Single,0.29681236036376224,0.5,0.5,0.3512241054613927,0.6464646464646465,0.234984984984985,0.0449438202247191,0.10478128179043744,0.02586206896551724,0.020202020202020204,0.5060240963855421,0.9,0.7272727272727273,0.09090909090909091,0.46153846153846156,0.6428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22063492063492063
24,0.41176470588235503,0.5,Together,0.30015418987381604,0.5,0.5,0.33992467043314534,0.4646464646464647,0.17267267267267267,0.07865168539325842,0.15768056968463887,0.35344827586206895,0.12121212121212122,0.2329317269076305,0.8,0.8181818181818182,0.18181818181818182,0.38461538461538464,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.22182539682539684
25,0.2156862745098067,0.25,Single,0.3859718682148589,0.5,0.5,0.5988700564971747,0.5151515151515152,0.36036036036036034,0.4831460674157303,0.25228891149542215,0.3232758620689655,0.43434343434343436,0.5783132530120482,0.8,0.5454545454545454,0.2727272727272727,0.38461538461538464,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44246031746031744
28,0.49019607843137436,0.75,Married,0.3378394537273042,0.5,0.5,0.40960451977401036,0.5151515151515152,0.3483483483483483,0.028089887640449437,0.06408952187182096,0.030172413793103446,0.0,0.28112449799196787,0.8,0.8181818181818182,0.09090909090909091,0.5384615384615385,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2400793650793651
29,0.4705882352941231,0.25,Divorced,0.38184964913936875,0.0,0.5,0.05555555555555536,0.5252525252525253,0.9121621621621622,0.1853932584269663,0.25228891149542215,0.27586206896551724,0.5858585858585859,0.5983935742971886,0.8,0.7272727272727273,0.8181818181818182,0.6153846153846154,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7226190476190476
30,0.4705882352941231,0.5,Single,0.24681708046194029,0.5,0.5,0.44350282485875603,0.09090909090909091,0.29429429429429427,0.028089887640449437,0.09155645981688708,0.12068965517241378,0.13131313131313133,0.4497991967871485,0.8,0.6363636363636364,0.2727272727272727,0.5384615384615385,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25753968253968257
31,0.41176470588235503,1.0,Married,0.3221687277762044,0.0,0.5,0.38135593220338926,0.7272727272727273,0.515015015015015,0.09550561797752809,0.14343845371312308,0.09913793103448276,0.13131313131313133,0.14056224899598393,0.8,0.5454545454545454,0.36363636363636365,1.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3666666666666667
32,0.7450980392156907,0.5,Married,0.37933855690865037,0.5,0.5,0.4143126177024481,0.8787878787878789,0.3430930930930931,0.028089887640449437,0.10681586978636826,0.06465517241379311,0.08585858585858587,0.21285140562248994,0.8,1.0,0.09090909090909091,0.46153846153846156,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2571428571428572
33,0.2352941176470651,1.0,Together,0.315245917115076,0.5,0.5,0.1704331450094152,0.6060606060606061,0.262012012012012,0.02247191011235955,0.07833163784333673,0.02586206896551724,0.0,0.17269076305220882,0.8,0.6363636363636364,0.18181818181818182,0.46153846153846156,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1884920634920635
34,0.529411764705884,0.5,Divorced,0.36608452122470814,0.0,0.5,0.7410546139359688,0.23232323232323235,0.48123123123123124,0.03932584269662921,0.05595116988809765,0.0,0.0,0.11244979919678713,0.8,0.9090909090909092,0.36363636363636365,0.46153846153846156,0.5714285714285714,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.2884920634920635
35,0.6078431372549034,0.5,Together,0.35473740520469493,0.0,0.5,0.5273069679849343,0.37373737373737376,0.5788288288288288,0.28651685393258425,0.15564598168870802,0.23275862068965517,0.05050505050505051,0.6184738955823292,0.7000000000000001,1.0,0.18181818181818182,0.9230769230769231,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4718253968253968
36,0.19607843137255543,0.5,Together,0.23403505459580226,0.0,0.5,0.4086629001883235,0.696969696969697,0.20270270270270271,0.016853932584269662,0.026449643947100712,0.16810344827586207,0.030303030303030304,0.3975903614457831,0.7000000000000001,0.6363636363636364,0.09090909090909091,0.38461538461538464,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.17420634920634923
37,0.7254901960784323,0.5,Single,0.16782151735422762,0.5,0.0,0.5094161958568737,0.5151515151515152,0.11561561561561562,0.11235955056179775,0.06612410986775179,0.0,0.06060606060606061,0.10843373493975902,0.7000000000000001,0.5454545454545454,0.09090909090909091,0.3076923076923077,0.6428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10873015873015873
38,0.19607843137255543,0.5,Single,0.23403505459580226,0.0,0.5,0.4086629001883235,0.696969696969697,0.20270270270270271,0.016853932584269662,0.026449643947100712,0.16810344827586207,0.030303030303030304,0.3975903614457831,0.7000000000000001,0.6363636363636364,0.09090909090909091,0.38461538461538464,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17420634920634923
39,0.41176470588235503,0.5,Divorced,0.22687938575789046,0.5,0.5,0.32391713747645845,0.5454545454545455,0.12387387387387387,0.016853932584269662,0.14852492370295015,0.017241379310344827,0.12121212121212122,0.1646586345381526,0.7000000000000001,0.5454545454545454,0.18181818181818182,0.38461538461538464,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.15039682539682542
40,0.4705882352941231,0.75,Married,0.3364485981308411,1.0,0.5,0.6318267419962336,0.6060606060606061,0.21921921921921922,0.016853932584269662,0.07731434384537131,0.04310344827586207,0.015151515151515152,0.10441767068273092,0.7000000000000001,0.5454545454545454,0.2727272727272727,0.38461538461538464,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16111111111111112
41,0.29411764705882604,0.75,Married,0.31134396928789454,0.0,0.5,0.2024482109227872,0.9292929292929294,0.6426426426426426,0.0,0.0762970498474059,0.05172413793103448,0.045454545454545456,0.7991967871485943,0.7000000000000001,0.8181818181818182,0.5454545454545454,0.6923076923076923,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45515873015873015
42,0.6666666666666714,0.75,Together,0.3131061392743636,0.5,0.5,0.6242937853107335,0.6161616161616162,0.16216216216216217,0.05056179775280899,0.05696846388606307,0.08620689655172414,0.045454545454545456,0.502008032128514,0.7000000000000001,0.36363636363636365,0.2727272727272727,0.38461538461538464,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.17103174603174603
43,0.5882352941176521,1.0,Married,0.2703735171024891,0.5,0.5,0.5527306967984931,0.5656565656565657,0.12237237237237238,0.011235955056179775,0.03967446592065107,0.034482758620689655,0.05555555555555556,0.04417670682730923,0.7000000000000001,0.2727272727272727,0.09090909090909091,0.46153846153846156,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09126984126984128
44,0.7843137254902004,1.0,Together,0.3362912615249064,0.5,0.0,0.08474576271186329,0.8181818181818182,0.56006006006006,0.0449438202247191,0.12614445574771108,0.04741379310344827,0.04040404040404041,0.0321285140562249,0.7000000000000001,0.7272727272727273,0.5454545454545454,0.6923076923076923,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.35753968253968255
45,0.7058823529411811,0.5,Married,0.2367727115390667,0.5,0.0,0.2787193973634654,0.4141414141414142,0.21096096096096095,0.03932584269662921,0.0844354018311292,0.06465517241379311,0.0,0.47791164658634533,0.7000000000000001,0.6363636363636364,0.2727272727272727,0.3076923076923077,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19880952380952382
46,0.09803921568627771,1.0,Together,0.38083010793291167,1.0,0.5,0.9425612052730692,0.5656565656565657,0.3048048048048048,0.0,0.029501525940996948,0.0,0.0,0.0321285140562249,0.7000000000000001,0.7272727272727273,0.18181818181818182,0.38461538461538464,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.17420634920634923
47,0.5882352941176521,0.75,Divorced,0.24754082884924006,0.5,0.5,0.5065913370998114,0.6464646464646465,0.28453453453453453,0.02247191011235955,0.0935910478128179,0.05172413793103448,0.045454545454545456,0.393574297188755,0.7000000000000001,0.5454545454545454,0.5454545454545454,0.3076923076923077,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.23412698412698413
48,0.2352941176470651,1.0,Together,0.38391390540923254,0.5,1.0,0.4237288135593218,0.8181818181818182,0.7402402402402403,0.20224719101123595,0.1698880976602238,0.06896551724137931,0.0,0.4337349397590361,0.7000000000000001,1.0,0.2727272727272727,0.3076923076923077,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.5194444444444445
50,0.41176470588235503,0.75,Together,0.2748544636395104,0.5,0.5,0.2758945386064031,0.8181818181818182,0.12537537537537538,0.011235955056179775,0.04374364191251271,0.02586206896551724,0.010101010101010102,0.07630522088353413,0.7000000000000001,0.36363636363636365,0.18181818181818182,0.3076923076923077,0.5714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.09325396825396826
